Raga,Raga_Class,Melakarta,Aarohanam,Avarohanam
Kanakāngi,Melakarta,1,S R1 G1 M1 P D1 N1 S, S N1 D1 P M1 G1 R1 S
Kanakāmbari,Janyam,1,S R1 M1 P D1 S, S N1 D1 P M1 G1 R1 S
Kanakatodi,Janyam,1,S R1 G1 M1 P D1 S, S N1 D1 P M1 R1 S
Karnātaka Shuddha Sāveri,Janyam,1,S R1 M1 P D1 S, S D1 P M1 R1 S
Latantapriya,Janyam,1,S R1 G1 M1 P D1 S, S D1 P M1 R1 S
Lavangi,Janyam,1,S R1 M1 D1 S, S D1 M1 R1 S
Megha,Janyam,1,S R1 M1 P D1 N1 D1 P S, S N1 D1 P M1 R1 S
Rishabhavilāsa,Janyam,1,S R1 M1 P D1 S, S D1 P M1 R1 M1 R1 S
Sarvashree,Janyam,1,S M1 P S, S P M1 S
Suddha Mukhāri,Janyam,1,S R1 M1 P D1 S, S N1 D1 P M1 G1 R1 S
Tatillatika,Janyam,1,S R1 M1 P D1 S, S D1 P M1 R1 S
Vāgeeshwari,Janyam,1,S R1 G1 M1 P D1 S, S D1 M1 P G1 R1 S
Rathnāngi,Melakarta,2,S R1 G1 M1 P D1 N2 S, S N2 D1 P M1 G1 R1 S
Phenadhyuti,Janyam,2,S R1 M1 P D1 P N2 S, S N2 D1 P M1 G1 R1 S
Ganamukhāri,Janyam,2,S R1 M1 D1 S, S N2 D1 M1 R1 S
Ratnavarāli,Janyam,2,S R1 M1 P N2 D1 S, S N2 P M1 R1 G1 R1 S
Revati,Janyam,2,S R1 M1 P N2 S, S N2 P M1 R1 S
Shreemani,Janyam,2,S R1 G1 P D1 S, S N2 D1 P G1 R1 S
Shreemati,Janyam,2,S R1 G1 P D1 S, S N2 D1 P G1 R1 S
Gānamoorti,Melakarta,3,S R1 G1 M1 P D1 N3 S, S N3 D1 P M1 G1 R1 S
Gānasāmavarāli,Janyam,3,S R1 M1 P D1 N3 S, S N3 D1 P M1 G1 R1 S
Bhinnapanchamam,Janyam,3,S R1 G1 M1 P D1 N3 S, S N3 D1 P M1 G1 R1 S
Nādharanjani,Janyam,3,S R1 M1 D1 N3 S, S N3 D1 M1 G1 R1 S
Poorvavarāli,Janyam,3,S R1 M1 P D1 S, S N3 D1 P M1 G1 R1 S
Sāmavarāli,Janyam,3,S R1 M1 P D1 N3 S, S N3 D1 P M1 G1 R1 G1 S
Vanaspati,Melakarta,4,S R1 G1 M1 P D2 N2 S, S N2 D2 P M1 G1 R1 S
Bhānumati,Janyam,4,N2 S M1 P N2 S, S N2 D2 P M1 G2 R2 S
Rasāli,Janyam,4,S R1 M1 P D2 N2 S, S D2 P M1 R1 S
Vanāvali,Janyam,4,S R1 M1 P D2 N2 S, S D2 P M1 R1 S
Vittalapriya,Janyam,4,S R1 M1 P D2 S, S D2 P M1 R1 S
Mānavati,Melakarta,5,S R1 G1 M1 P D2 N3 S, S N3 D2 P M1 G1 R1 S
Manoranjani,Janyam,5,S R1 M1 P D2 N3 S, S N3 D2 P M1 G1 R1 S
Ghanashyāmalā,Janyam,5,S G1 M1 P D2 S, S D2 N3 P M1 G1 R1 S
Kunjari,Janyam,5,S R1 M1 P D2 P S, S N3 D2 P M1 G1 R1 S
Tānaroopi,Melakarta,6,S R1 G1 M1 P D3 N3 S, S N3 D3 P M1 G1 R1 S
Tanukeerti,Janyam,6,S R1 M1 P N3 S, S N3 D3 N3 P M1 G1 M1 R1 S
Senāvati,Melakarta,7,S R1 G2 M1 P D1 N1 S, S N1 D1 P M1 G2 R1 S
Senāgrani,Janyam,7,S R1 G2 R1 M1 G2 M1 P N1 D1 S, S N1 D1 P M1 G2 M1 G2 R1 S
Bhogi,Janyam,7,S G2 M1 P D1 N1 D1 S, S N1 D1 P M1 G2 S
Chitthakarshani,Janyam,7,S R1 G2 M1 D1 S, S D1 M1 G2 R1 S
Navarasa Mālā,Janyam,7,S R1 G2 M1 P D1 S, S N1 D1 P M1 R1 S
Sindhu Gowri,Janyam,7,S R1 G2 M1 P D1 N1 S, S N1 D1 M1 G2 M1 R1 S
Hanumatodi,Melakarta,8,S R1 G2 M1 P D1 N2 S, S N2 D1 P M1 G2 R1 S
Janatodi,Janyam,8,S R1 G2 M P D1 N2 S, S N2 D1 P M G2 R1 S
Amrita Dhanyāsi,Janyam,8,S R1 G2 M1 P N2 S, S N2 P M1 G2 R1 S
Asāveri,Janyam,8,S R1 M1 P D1 S, S N2 S P D1 M1 P R1 G2 R1 S
Bhānuchandrika,Janyam,8,S M1 D1 N2 S, S N2 D1 M1 G1 S
